X,beta1,beta2,T,dimx,dimy,gamma,gamma1,gamma2,n,n1,n2,objVal_partitioned,objVal_single,status_partitioned,status_single
,,0.7000000000000001,0.16,100.0,50.0,8.0,4.0,3.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.9,0.18,100.0,50.0,9.0,4.0,4.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,0.30000000000000004,0.1,0.2800000000000001,100.0,50.0,14.0,13.0,0.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.30000000000000004,100.0,50.0,15.0,13.0,1.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.5,0.32000000000000006,100.0,50.0,16.0,13.0,2.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.3400000000000001,100.0,50.0,17.0,13.0,3.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.9,0.36000000000000004,100.0,50.0,18.0,13.0,4.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,0.5,0.1,0.46,100.0,50.0,23.0,22.0,0.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.48,100.0,50.0,24.0,22.0,1.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.5,0.5,100.0,50.0,25.0,22.0,2.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.52,100.0,50.0,26.0,22.0,3.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.9,0.54,100.0,50.0,27.0,22.0,4.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,0.7000000000000001,0.1,0.6400000000000001,100.0,50.0,32.0,31.0,0.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.6600000000000001,100.0,50.0,33.0,31.0,1.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.5,0.6800000000000002,100.0,50.0,34.0,31.0,2.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.7000000000000001,100.0,50.0,35.0,31.0,3.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.9,0.7200000000000001,100.0,50.0,36.0,31.0,4.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,0.9,0.1,0.8200000000000001,100.0,50.0,41.0,40.0,0.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.30000000000000004,0.8400000000000001,100.0,50.0,42.0,40.0,1.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.5,0.8600000000000001,100.0,50.0,43.0,40.0,2.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.7000000000000001,0.88,100.0,50.0,44.0,40.0,3.0,50.0,45.0,5.0,0.0,0.0,warning,warning
,,0.9,0.9,100.0,50.0,45.0,40.0,4.0,50.0,45.0,5.0,0.0,0.0,warning,warning
